open_time,open,high,low,close,atr,close_smooth,position
2023-02-23 16:00:00,23956.9,23995.7,23775.1,23775.2,,23815.425808918637,0
2023-02-23 17:00:00,23775.2,23980.9,23752.5,23838.5,,23828.20758010897,0
2023-02-23 18:00:00,23838.5,23902.8,23740.0,23864.3,,23847.47810084464,0
2023-02-23 19:00:00,23864.3,24045.5,23841.0,23975.7,,23870.594653684315,0
2023-02-23 20:00:00,23975.7,24068.1,23902.7,23941.5,,23895.251816498392,0
2023-02-23 21:00:00,23941.5,24013.1,23865.7,23866.2,,23919.464673018843,0
2023-02-23 22:00:00,23866.2,23904.9,23759.5,23866.5,,23941.55202338906,0
2023-02-23 23:00:00,23866.5,23958.0,23827.2,23939.5,,23960.11959471367,0
2023-02-24 00:00:00,23939.5,24014.5,23893.0,23958.6,,23974.043251608404,0
2023-02-24 01:00:00,23958.6,24129.1,23958.5,24006.9,,23982.452206749902,0
2023-02-24 02:00:00,24006.9,24029.6,23922.0,23942.2,,23984.712231425583,0
2023-02-24 03:00:00,23942.2,23998.1,23922.0,23953.4,,23980.408866083457,0
2023-02-24 04:00:00,23953.4,23980.8,23932.0,23938.9,,23969.33063088199,0
2023-02-24 05:00:00,23938.9,23941.3,23857.7,23897.1,,23951.452236239908,0
2023-02-24 06:00:00,23897.1,23912.0,23685.0,23897.6,,23926.917793386074,0
2023-02-24 07:00:00,23897.6,23934.2,23777.5,23838.4,,23896.024024909297,0
2023-02-24 08:00:00,23838.4,23965.5,23764.7,23905.1,,23859.203475308183,0
2023-02-24 09:00:00,23905.1,23936.0,23814.0,23833.8,,23817.00772154097,0
2023-02-24 10:00:00,23833.8,24918.4,23610.0,23862.9,,23770.090583575366,0
2023-02-24 11:00:00,23862.9,23899.1,23831.9,23887.1,,23719.191334938398,0
2023-02-24 12:00:00,23887.1,24014.9,23867.4,23887.0,,23665.11791326623,0
2023-02-24 13:00:00,23887.0,23953.2,23701.8,23780.5,,23608.730130854015,0
2023-02-24 14:00:00,23780.5,24000.0,23701.2,23814.8,,23550.92288520574,0
